Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Fri Jun 18 09:46:36 EDT 2021,BridgeSceneMouseController.java,1624023996322,-146793,-146793,(I)10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Fri Jun 18 09:46:36 EDT 2021,BridgeSceneMouseController.java, 1624023996322
2,,Fri Jun 18 09:46:27 EDT 2021,BridgeSceneFactory.java,1624023987382,74687,0,(I)5(R)3(I)4(F)2,0.6428571428571429,0.0,0.0,14.285714285714285,0.0,0.0,0.1891891891891892,0.0,0.0,0.02702702702702703,0.0,0.04054054054054054,0.12162162162162163,0.0,[]
3,,Fri Jun 18 09:47:42 EDT 2021,BridgeSceneFactory.java,1624024062559,20182,0,(I)3(R)1(I)4(R)3(I)5,0.75,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.6,0.0,[]
4,,Fri Jun 18 09:48:03 EDT 2021,PanelButton.java,1624024083078,52586,0,(I)2(F)2(I)9(R)1(I)1,0.8,0.0,0.0,13.333333333333334,0.0,0.0,0.28846153846153844,0.0,0.0,0.038461538461538464,0.0,0.019230769230769232,0.23076923076923078,0.0,[]
5,,Fri Jun 18 09:48:56 EDT 2021,Buttons.java,1624024136093,22304,0,(R)1(I)1(R)1(I)1(R)2(I)2(R)1(I)2(R)1(I)2(R)1(I)6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.0,0.3181818181818182,0.6363636363636364,0.0,[]
6,,Fri Jun 18 09:49:18 EDT 2021,Buttons.java,1624024158544,-45385,-45385,(I)20(R)1(I)1,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
7,,Fri Jun 18 09:48:36 EDT 2021,Buttons.java,1624024116651,56881,0,(I)2(R)1(I)1(R)4(I)1(R)1(I)1(R)1(I)1(R)1(I)6,0.6,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.0,[]
8,,Fri Jun 18 09:49:38 EDT 2021,Buttons.java,1624024178239,9103,9103,(I)20,1.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,[]
9,,Fri Jun 18 09:49:47 EDT 2021,BridgeSceneFactory.java,1624024187545,10719,0,(I)22,1.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.2,0.0,[]
10,,Fri Jun 18 09:49:58 EDT 2021,BridgeSceneFactory.java,1624024198789,8941,8941,(R)3(I)6(R)9(I)4,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,1.5,1.25,0.0,[]
11,,Fri Jun 18 09:50:07 EDT 2021,BridgeSceneFactory.java,1624024207925,14315,0,(I)19(R)1(I)1,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.07142857142857142,1.4285714285714286,0.0,[]
12,,Fri Jun 18 09:50:22 EDT 2021,BridgeSceneFactory.java,1624024222511,15097,0,(I)9(R)4(I)1(R)1(I)4,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.9333333333333333,0.0,[]
13,,Fri Jun 18 09:50:37 EDT 2021,BridgeSceneFactory.java,1624024237717,14072,0,(I)11(F)2(I)1(F)2(I)2,0.7777777777777778,0.0,0.0,22.22222222222222,0.0,0.0,1.2857142857142858,0.0,0.0,0.2857142857142857,0.0,0.0,1.0,0.0,[]
14,,Fri Jun 18 09:50:07 EDT 2021,BridgeSceneFactory.java,1624024207071,50991,0,(I)4(R)1(I)2(R)1(I)1(R)1(I)13,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.06,0.4,0.0,[]
15,,Fri Jun 18 09:50:58 EDT 2021,BridgeSceneFactory.java,1624024258288,6636,6636,(I)6(R)1(I)1(R)3(I)1(R)2(I)9,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,1.0,2.8333333333333335,0.0,[]
