Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
grail.MVC.ConsoleSceneView,console:scene:view,@Comp301Tags.CONSOLE_SCENE_VIEW,comp:tags:console:scene:view,propertyChange,property:change,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
grail.geometryFigs.PolarPoint,polar:point,PolarPoint,polar:point,getXH,get,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener,Math,math,java.lang.Math,math,cos,none
grail.geometryFigs.PolarPoint,polar:point,PolarPoint,polar:point,getYH,get,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener,Math,math,java.lang.Math,math,sin,sin
grail.geometryFigs.PolarPoint,polar:point,PolarPoint,polar:point,setRadius,set:radius,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
grail.geometryFigs.PolarPoint,polar:point,PolarPoint,polar:point,setAngle,set:angle,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,PropertyChangeEvent,property:change:event
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,imagePainter,image:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,linePainter,line:painter
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getTorso,get:torso
grail.MVCDelegate.AvatarArthur,avatar:arthur,@Comp301Tags.PAINT_LISTENER,comp:tags:paint:listener,paint,paint,@Comp301Tags.CONSOLE_SCENE_VIEW:PropertyChangeListener:EventListener:@Comp301Tags.LOCATABLE:@Comp301Tags.LOCATABLE:PropertyListenerRegisterer:@Comp301Tags.PAINT_LISTENER:PropertyChangeListener:EventListener,comp:tags:console:scene:view:property:change:listener:event:listener:comp:tags:locatable:comp:tags:locatable:property:listener:comp:tags:paint:listener:property:change:listener:event:listener,grail.compositeFigs.FiveAvatars,five:avatars,@Comp301Tags.BRIDGE_SCENE,comp:tags:bridge:scene,getArthur,get:arthur
